"draw","cumulative","peakDebt","breakEven","year10Cost","northGrowth","southGrowth","ukPensionShare","ukDebtShare","reratingScope","interestRate","taxMultiplier","investmentOutputReturn","oneOffTransitionCost"
"532","465.01","325.5","","16.74","2.6873","2.2924","58.6633","58.6633","61.2941","3.9442","0.5623","0.0562","6.397"
"533","338.78","237.14","","12.91","3.4387","2.7256","66.6573","66.6573","52.6783","3.2547","0.4323","0.0782","5.572"
"534","64.61","45.23","","3.71","4.216","2.8961","100","100","25","2.9135","0.3812","0.101","4.6318"
"535","250.1","175.07","","9.16","2.6274","2.4249","93.2915","93.2915","30.9027","3.5292","0.5225","0.0544","4.3481"
"536","126.01","88.21","","5.94","3.6013","2.4254","88.8027","88.8027","25","3.2827","0.5224","0.083","2.1855"
"537","183.7","128.59","","8.78","4.1156","2.1352","71.6391","71.6391","53.3267","4.1587","0.6094","0.0981","6.3818"
"538","205.8","144.06","","8.54","3.5341","2.4854","80.9837","80.9837","36.3593","3.3951","0.5044","0.081","3.9003"
"539","375.31","262.72","","16.01","4.6664","2.9301","22.5984","22.5984","66.7099","2.6539","0.371","0.1142","2.7589"
"540","143.34","100.34","","6.61","4.0048","2.4257","91.2712","91.2712","47.6711","3.9166","0.5223","0.0948","7.7666"
"541","182.1","127.47","","7.83","3.7391","2.1273","90.1763","90.1763","55.4767","4.5053","0.6118","0.087","9.3372"
"542","145.03","101.52","","6.56","4.1711","3.1919","83.4444","83.4444","25","2.1263","0.2924","0.0997","1.2833"
"543","10.06","23.43","14","2.22","4.8","3.0942","100","100","25","2.5242","0.3217","0.1292","3.6032"
"544","64.14","45.64","24","3.93","3.9481","2.3725","100","100","32.5311","3.8236","0.5383","0.0931","6.3048"
"545","499.95","349.96","","17.46","2.1571","1.9281","62.104","62.104","60.1956","4.47","0.6716","0.0406","6.6161"
"546","250.23","175.16","","11.06","3.9417","2.1072","59.3729","59.3729","53.6111","4.0176","0.6178","0.093","4.8018"
"547","142.91","100.04","","5.84","3.4188","2.6986","100","100","25","3.2319","0.4404","0.0776","5.0434"
"548","372.94","261.05","","14.06","3.1682","2.1856","62.9402","62.9402","58.352","4.0826","0.5943","0.0703","6.3225"
"549","164.94","115.46","","6.58","3.0065","2.1991","99.3742","99.3742","30.7587","3.9286","0.5903","0.0655","5.1309"
"550","209.94","146.96","","8.75","4.2523","2.6206","87.3508","87.3508","66.1012","4.0496","0.4638","0.1021","11.2962"
